,Player,CurrentSalary,UpcomingSalary,Age,Tm,G,MP,3PA,3P%,TRB,BLK,STL,AST,TOV,PTS,PER,TS%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
26,D'Angelo Russell,27285000,28649250,23,TOT,45,32.3,9.6,0.36700000000000005,3.9,0.3,1.1,6.3,3.3,23.1,18.7,0.556,1.1,0.7,1.8,3.8,-1.9,1.9,1.4
27,Otto Porter,27250576,28489239,26,CHI,14,23.6,4.4,0.387,3.4,0.4,1.1,1.8,0.8,11.9,15.8,0.55,0.4,0.4,0.8,0.9,0.2,1.0,0.3
28,Devin Booker,27250000,29430000,23,PHO,62,36.1,5.6,0.36,4.2,0.3,0.7,6.6,3.9,26.1,19.8,0.617,4.8,1.2,6.0,3.1,-1.4,1.7,2.1
29,Karl-Anthony Towns,27250000,29430000,24,MIN,35,33.9,7.9,0.41200000000000003,10.8,1.2,0.9,4.4,3.1,26.5,26.5,0.642,3.8,1.3,5.1,7.0,0.8,7.8,2.9
30,Bradley Beal,27093019,28751775,26,WAS,57,36.0,8.4,0.353,4.2,0.4,1.2,6.1,3.4,30.5,23.1,0.579,4.6,0.5,5.1,5.3,-2.4,2.9,2.5
31,Anthony Davis,27093019,28751775,26,LAL,55,34.3,3.5,0.335,9.4,2.4,1.5,3.1,2.5,26.7,28.2,0.614,6.2,4.1,10.3,5.8,2.8,8.5,5.0
32,Andre Drummond,27093019,28751775,26,TOT,57,33.0,0.6,0.14300000000000002,15.2,1.6,1.9,2.7,3.6,17.7,22.0,0.5529999999999999,0.7,3.6,4.3,-0.1,1.1,1.0,1.4
33,Hassan Whiteside,27093018,0,30,POR,61,31.3,0.1,0.5710000000000001,14.2,3.1,0.4,1.2,1.9,16.3,25.0,0.6409999999999999,5.1,3.0,8.1,2.5,0.7,3.2,2.5
34,Nikola JokiÃ„â€¡,26573595,28542009,24,DEN,65,32.3,3.5,0.314,10.2,0.7,1.2,6.9,3.1,20.2,25.0,0.604,6.0,3.2,9.2,5.4,2.3,7.6,5.1
35,Jrue Holiday,26131111,26131111,29,NOP,55,34.9,5.9,0.35700000000000004,4.9,0.8,1.7,6.9,2.9,19.6,17.5,0.535,2.1,1.8,4.0,1.9,0.3,2.3,2.1
36,LaMarcus Aldridge,26000000,24000000,34,SAS,53,33.1,3.0,0.389,7.4,1.6,0.7,2.4,1.4,18.9,19.8,0.5710000000000001,3.1,1.4,4.4,1.8,-0.5,1.3,1.5
37,Steven Adams,25842697,27528090,26,OKC,58,27.0,0.1,0.33299999999999996,9.4,1.1,0.9,2.4,1.5,10.9,20.8,0.605,3.7,2.5,6.2,2.1,1.1,3.2,2.0
38,Giannis Antetokounmpo,25842697,27528090,25,MIL,57,30.9,4.8,0.306,13.7,1.0,1.0,5.8,3.7,29.6,31.6,0.608,5.6,4.8,10.4,7.4,4.1,11.5,6.0
39,Marc Gasol,25595700,0,35,TOR,36,27.5,3.5,0.402,6.3,0.9,0.8,3.4,1.2,7.6,11.9,0.546,0.9,1.8,2.7,-0.9,2.7,1.8,0.9
40,Nicolas Batum,25565217,27130434,31,CHO,22,23.0,2.2,0.28600000000000003,4.5,0.4,0.8,3.0,1.0,3.6,9.2,0.46299999999999997,0.2,0.4,0.6,-2.7,0.9,-1.9,0.0
41,Chandler Parsons,25102511,0,31,ATL,5,10.8,2.8,0.28600000000000003,1.4,0.2,0.8,0.6,0.6,2.8,5.6,0.389,-0.1,0.0,-0.1,-4.7,-1.3,-6.0,-0.1
42,Rudy Gobert,25008427,26525281,27,UTA,62,34.5,0.0,0.0,13.7,2.0,0.8,1.5,1.9,15.1,21.7,0.7,6.0,4.0,10.0,1.8,1.9,3.7,3.1
43,Harrison Barnes,24147727,22215909,27,SAC,64,34.9,3.8,0.38299999999999995,4.8,0.2,0.6,2.4,1.3,14.7,13.3,0.575,3.1,1.1,4.2,0.0,-1.2,-1.2,0.5
44,Serge Ibaka,23271604,0,30,TOR,50,27.5,3.3,0.39799999999999996,8.3,0.8,0.5,1.5,2.0,16.0,18.0,0.593,1.5,2.4,3.9,0.5,-0.1,0.4,0.9
45,Danilo Gallinari,22615559,0,31,OKC,55,30.7,7.3,0.409,5.5,0.1,0.7,2.1,1.3,19.2,19.4,0.611,4.1,1.6,5.7,4.1,-0.9,3.2,2.2
