,Player,CurrentSalary,UpcomingSalary,Age,Tm,G,MP,3PA,3P%,TRB,BLK,STL,AST,TOV,PTS,PER,TS%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
17241,Montrezl Harrell,9258000,9720900,27,LAL,69,22.9,0.1,.000,6.2,0.7,0.7,1.1,1.1,13.5,22.7,.650,4.5,2.7,7.3,2.4,0.3,2.7,1.9
17242,Tristan Thompson,9258000,9720900,29,BOS,54,23.8,0.1,.000,8.1,0.6,0.4,1.2,1.1,7.6,14.2,.540,1.5,1.4,2.9,-1.4,-1.2,-2.6,-0.2
17243,Serge Ibaka,9258000,9742000,31,LAC,41,23.3,2.8,.339,6.7,1.1,0.2,1.8,1.1,11.1,18.2,.585,1.7,1.3,3.0,1.3,-0.5,0.8,0.7
17244,Ja Morant,9166800,9603360,21,MEM,63,32.6,3.8,.303,4.0,0.2,0.9,7.4,3.2,19.1,16.7,.537,1.6,1.6,3.2,1.3,-2.0,-0.8,0.6
17247,Delon Wright,9000000,8526316,28,TOT,63,27.7,2.7,.372,4.3,0.5,1.6,4.4,1.3,10.2,16.3,.562,2.5,1.8,4.3,0.7,1.3,2.0,1.7
17256,Marvin Bagley III,8963640,11312114,21,SAC,43,25.9,2.5,.343,7.4,0.5,0.5,1.0,1.4,14.1,16.3,.554,0.9,0.5,1.4,-0.6,-2.8,-3.4,-0.4
17257,Cedi Osman,8750000,8050000,25,CLE,59,25.6,5.5,.306,3.4,0.2,0.9,2.9,1.4,10.4,10.3,.488,-0.5,1.0,0.5,-1.9,-0.9,-2.8,-0.3
17258,James Wiseman,8730240,9166800,19,GSW,39,21.4,1.0,.316,5.8,0.9,0.3,0.7,1.5,11.5,13.1,.552,-0.4,1.2,0.7,-4.0,-1.4,-5.4,-0.7
17259,Dario Šarić,8333333,9000000,26,PHO,50,17.4,2.7,.348,3.8,0.1,0.6,1.3,1.1,8.7,14.3,.567,0.7,1.0,1.7,-1.4,-0.8,-2.2,0.0
17260,Thomas Bryant,8333333,8730159,23,WAS,10,27.1,2.1,.429,6.1,0.8,0.4,1.5,1.1,14.3,18.7,.704,0.7,0.2,1.0,2.1,-1.7,0.4,0.2
17261,Maxi Kleber,8250000,8750000,29,DAL,50,26.8,4.2,.410,5.2,0.7,0.5,1.4,0.6,7.1,10.6,.606,1.6,1.3,2.9,-0.6,0.0,-0.7,0.5
17262,RJ Barrett,8231760,8623920,20,NYK,72,34.9,4.3,.401,5.8,0.3,0.7,3.0,1.9,17.6,13.4,.535,0.9,3.1,4.1,-1.0,-0.5,-1.5,0.3
17263,Jakob Poeltl,8101852,8750000,25,SAS,69,26.7,0.0,0,7.9,1.8,0.7,1.9,1.2,8.6,17.5,.612,3.2,2.5,5.7,-0.4,1.1,0.7,1.2
17264,De'Aaron Fox,8099627,28103550,23,SAC,58,35.1,5.5,.322,3.5,0.5,1.5,7.2,3.0,25.2,20.7,.565,3.4,0.8,4.2,2.9,-1.5,1.4,1.7
17265,Luka Dončić,8049360,10174391,21,DAL,66,34.3,8.3,.350,8.0,0.5,1.0,8.6,4.3,27.7,25.3,.587,5.1,2.6,7.7,6.1,0.6,6.7,5.0
